internalTaxonId,scientificName,name,language,main
17225,Phyllotis definitus,Definitive Leaf-eared Mouse,English,true
13048,Melanomys zunigae,Zuniga's Dark Rice Rat,English,true
42635,Microtus umbrosus,Zempoaltepec Vole,English,true
13449,Microtus oaxacensis,Tarabundi Vole,English,true
13417,Microtus breweri,Beach Vole,English,true
12941,Megadontomys nelsoni,Nelson's Giant Deer Mouse,English,true
12942,Megadontomys thomasi,ratón gigante de Guerrero,Spanish; Castilian,false
12942,Megadontomys thomasi,Thomas's Giant Deer Mouse,English,true
12940,Megadontomys cryophilus,Oaxacan Giant Deer Mouse,English,false
12940,Megadontomys cryophilus,Oaxaca Giant Deer Mouse,English,true
136484,Aepeomys reigi,Reig’s Montane Mouse,English,false
136484,Aepeomys reigi,Reig-Anden-Feldmaus,German,false
136484,Aepeomys reigi,Reigs Andenmaus,German,false
136484,Aepeomys reigi,Reig's Aepeomys,English,true
19454,Rhagomys rufescens,Brazilian Arboreal Mouse,English,true
19484,Rheomys mexicanus,Mexican Water Mouse,English,true
115591937,Sigmodon alleni,Allen's Cotton Rat,English,true
20214,Sigmodon inopinatus,Unexpected Cotton Rat,English,true
2803,Bibimys torresi,Torres’s Akodont,English,false
2803,Bibimys torresi,Paranafluss-Karminnasenratte,German,false
2803,Bibimys torresi,Torres-Karminnasenratte,German,false
2803,Bibimys torresi,Torres's Crimson-nosed Rat,English,true
23115,Xenomys nelsoni,Magdalena Rat,English,false
23115,Xenomys nelsoni,Magdelena Wood Rat,English,true
16664,Peromyscus guardia,Angel Island Mouse,English,true
16657,Peromyscus dickeyi,Dickey's Deer Mouse,English,false
16657,Peromyscus dickeyi,ratón de la Isla Tortuga,Spanish; Castilian,false
16657,Peromyscus dickeyi,Dickey’s Deermouse,English,true
16671,Peromyscus madrensis,Tres Marias Island Mouse,English,false
16671,Peromyscus madrensis,Tres Marias Deer Mouse,English,true
16653,Peromyscus bullatus,Perote Mouse,English,false
16653,Peromyscus bullatus,Perote Deer Mouse,English,true
16655,Peromyscus caniceps,Burt's Deer Mouse,English,false
16655,Peromyscus caniceps,Monserrat Island Deermouse,English,true
16692,Peromyscus stephani,San Esteban Island Mouse,English,false
16692,Peromyscus stephani,San Esteban Deermouse,English,true
16689,Peromyscus simulus,Nayarit Mouse,English,false
16689,Peromyscus simulus,Sinaloan Deer Mouse,English,false
16689,Peromyscus simulus,Nayarit Deer Mouse,English,true
16695,Peromyscus winkelmanni,Coalcoman Deermouse,English,false
16695,Peromyscus winkelmanni,Winkelmann's Deer Mouse,English,false
16695,Peromyscus winkelmanni,Winkelmann's Mouse,English,false
16695,Peromyscus winkelmanni,Coalcoman Deer Mouse,English,true
16697,Peromyscus zarhynchus,Chiapan Deer Mouse,English,true
16675,Peromyscus mekisturus,Puebla Deer Mouse,English,true
16676,Peromyscus melanocarpus,Tempoaltepec,English,false
16676,Peromyscus melanocarpus,Zempoaltepec,English,false
16676,Peromyscus melanocarpus,Black-wristed Deer Mouse,English,true
16673,Peromyscus mayensis,Maya Mouse,English,false
16673,Peromyscus mayensis,Mayan Deer Mouse,English,true
16679,Peromyscus melanurus,Black-tailed Mouse,English,false
16679,Peromyscus melanurus,ratón de cola negra,Spanish; Castilian,false
16679,Peromyscus melanurus,Black-tailed Deer Mouse,English,true
